r [R_sun]      e #density [cm**-3] e #density [eV**3]  
0.3735         2.74609e+24         20.9938             
0.374          2.73104e+24         20.8788             
0.3745         2.71547e+24         20.7598             
0.375          2.70041e+24         20.6446             
0.3755         2.68484e+24         20.5256             
0.376          2.66979e+24         20.4105             
0.3765         2.65474e+24         20.2955             
0.377          2.64021e+24         20.1844             
0.3775         2.62516e+24         20.0693             
0.378          2.61061e+24         19.9581             
0.3785         2.59608e+24         19.847              
0.379          2.58103e+24         19.732              
0.3795         2.56702e+24         19.6248             
0.38           2.55249e+24         19.5137             
0.3805         2.53795e+24         19.4026             
0.381          2.52393e+24         19.2954             
0.3815         2.50991e+24         19.1883             
0.382          2.49538e+24         19.0772             
0.3825         2.48189e+24         18.974              
0.383          2.46786e+24         18.8668             
0.3835         2.45384e+24         18.7596             
0.384          2.44035e+24         18.6565             
0.3845         2.42633e+24         18.5493             
0.385          2.41282e+24         18.446              
0.3855         2.39933e+24         18.3429             
0.386          2.38583e+24         18.2397             
0.3865         2.37284e+24         18.1404             
0.387          2.35935e+24         18.0372             
0.3875         2.34637e+24         17.938              
0.388          2.33288e+24         17.8348             
